Day,Month,Year,Day of week
1,January,2022,Saturday
2,January,2022,Sunday
3,January,2022,Monday
4,January,2022,Tuesday
5,January,2022,Wednesday
6,January,2022,Thursday
7,January,2022,Friday
8,January,2022,Saturday
9,January,2022,Sunday
10,January,2022,Monday
11,January,2022,Tuesday
12,January,2022,Wednesday
13,January,2022,Thursday
14,January,2022,Friday
15,January,2022,Saturday
16,January,2022,Sunday
17,January,2022,Monday
18,January,2022,Tuesday
19,January,2022,Wednesday
20,January,2022,Thursday
21,January,2022,Friday
22,January,2022,Saturday
23,January,2022,Sunday
24,January,2022,Monday
25,January,2022,Tuesday
26,January,2022,Wednesday
27,January,2022,Thursday
28,January,2022,Friday
29,January,2022,Saturday
30,January,2022,Sunday
31,January,2022,Monday
1,February,2022,Tuesday
2,February,2022,Wednesday
3,February,2022,Thursday
4,February,2022,Friday
5,February,2022,Saturday
6,February,2022,Sunday
7,February,2022,Monday
8,February,2022,Tuesday
9,February,2022,Wednesday
10,February,2022,Thursday
11,February,2022,Friday
12,February,2022,Saturday
13,February,2022,Sunday
14,February,2022,Monday
15,February,2022,Tuesday
16,February,2022,Wednesday
17,February,2022,Thursday
18,February,2022,Friday
19,February,2022,Saturday
20,February,2022,Sunday
21,February,2022,Monday
22,February,2022,Tuesday
23,February,2022,Wednesday
24,February,2022,Thursday
25,February,2022,Friday
26,February,2022,Saturday
27,February,2022,Sunday
28,February,2022,Monday
1,March,2022,Tuesday
2,March,2022,Wednesday
3,March,2022,Thursday
4,March,2022,Friday
5,March,2022,Saturday
6,March,2022,Sunday
7,March,2022,Monday
8,March,2022,Tuesday
9,March,2022,Wednesday
10,March,2022,Thursday
11,March,2022,Friday
12,March,2022,Saturday
13,March,2022,Sunday
14,March,2022,Monday
15,March,2022,Tuesday
16,March,2022,Wednesday
17,March,2022,Thursday
18,March,2022,Friday
19,March,2022,Saturday
20,March,2022,Sunday
21,March,2022,Monday
22,March,2022,Tuesday
23,March,2022,Wednesday
24,March,2022,Thursday
25,March,2022,Friday
26,March,2022,Saturday
27,March,2022,Sunday
28,March,2022,Monday
29,March,2022,Tuesday
30,March,2022,Wednesday
31,March,2022,Thursday
1,April,2022,Friday
2,April,2022,Saturday
3,April,2022,Sunday
4,April,2022,Monday
5,April,2022,Tuesday
6,April,2022,Wednesday
7,April,2022,Thursday
8,April,2022,Friday
9,April,2022,Saturday
10,April,2022,Sunday
11,April,2022,Monday
12,April,2022,Tuesday
13,April,2022,Wednesday
14,April,2022,Thursday
15,April,2022,Friday
16,April,2022,Saturday
17,April,2022,Sunday
18,April,2022,Monday
19,April,2022,Tuesday
20,April,2022,Wednesday
21,April,2022,Thursday
22,April,2022,Friday
23,April,2022,Saturday
24,April,2022,Sunday
25,April,2022,Monday
26,April,2022,Tuesday
27,April,2022,Wednesday
28,April,2022,Thursday
29,April,2022,Friday
30,April,2022,Saturday
1,May,2022,Sunday
2,May,2022,Monday
3,May,2022,Tuesday
4,May,2022,Wednesday
5,May,2022,Thursday
6,May,2022,Friday
7,May,2022,Saturday
8,May,2022,Sunday
9,May,2022,Monday
10,May,2022,Tuesday
11,May,2022,Wednesday
12,May,2022,Thursday
13,May,2022,Friday
14,May,2022,Saturday
15,May,2022,Sunday
16,May,2022,Monday
17,May,2022,Tuesday
18,May,2022,Wednesday
19,May,2022,Thursday
20,May,2022,Friday
21,May,2022,Saturday
22,May,2022,Sunday
23,May,2022,Monday
24,May,2022,Tuesday
25,May,2022,Wednesday
26,May,2022,Thursday
27,May,2022,Friday
28,May,2022,Saturday
29,May,2022,Sunday
30,May,2022,Monday
31,May,2022,Tuesday
1,June,2022,Wednesday
2,June,2022,Thursday
3,June,2022,Friday
